z	name	symbol	group	period	mass	density	volume	atomic_radii	van_der_waals_radii	covalent_radii	melt	boil	specific_heat	electronegativity	first_ionization_energy	s_elec	p_elec	d_elec	f_elec	production	radioactive	scattering_factors	HHI_P	HHI_R
82	Lead	Pb	14	6	207.199996948	11.3420000076	31.1599998474	180	202	147	600.75	2022	0.128999993205	2.32999992371	7.416659832	2	2	10	14	14	0	{'a1': 31.061701, 'c': 13.4118, 'b4': 47.2579, 'a3': 18.441999, 'a2': 13.0637, 'a4': 5.9696, 'b2': 2.3576, 'b3': 8.618, 'b1': 0.6902}	2700	1800
46	Palladium	Pd	10	5	106.419998169	12.0200004578	15.1800003052	140	163	131	1825.15002441	3236	0.244000002742	2.20000004768	8.33689975739	0	0	10	0	0.0149999996647	0	{'a1': 19.3319, 'c': 5.26593, 'b4': 76.898598, 'a3': 5.29537, 'a2': 15.5017, 'a4': 0.605844, 'b2': 7.98929, 'b3': 25.2052, 'b1': 0.698655}	3200	8000
61	Promethium	Pm	0	6	145	7.26000022888	34.4324989319	185	-1	-1	1204.15002441	3273	-1	1.12999999523	5.58199977875	2	0	0	5	0.0010000000475	0	{'a1': 23.3405, 'c': 2.02876, 'b4': 132.720993, 'a3': 13.1235, 'a2': 19.609501, 'a4': 2.87516, 'b2': 0.202088, 'b3': 15.1009, 'b1': 2.5627}	9500	3100
84	Polonium	Po	16	6	210	9.31999969482	-1	190	-1	-1	527.150024414	1235	-1	2	8.41699981689	2	4	10	14	0.0010000000475	0	{'a1': 34.6726, 'c': 13.677, 'b4': 47.004501, 'a3': 13.1138, 'a2': 15.4733, 'a4': 7.0258, 'b2': 3.55078, 'b3': 9.55642, 'b1': 0.700999}	0	0
59	Praseodymium	Pr	0	6	140.908004761	6.77299976349	36.2200012207	185	-1	-1	1204.15002441	3793	0.193000003695	1.12999999523	5.47300004959	2	0	0	3	9.19999980927	0	{'a1': 22.044001, 'c': 2.0583, 'b4': 143.643997, 'a3': 12.3856, 'a2': 19.669701, 'a4': 2.82428, 'b2': 0.222087, 'b3': 16.766899, 'b1': 2.77393}	9500	3100
78	Platinum	Pt	10	6	195.083999634	21.4599990845	15.5399999619	135	175	128	2045.15002441	4098	0.133000001311	2.27999997139	8.95870018005	1	0	9	14	0.00499999988824	0	{'a1': 27.005899, 'c': 11.6883, 'b4': 38.610298, 'a3': 15.7131, 'a2': 17.763901, 'a4': 5.7837, 'b2': 8.81174, 'b3': 0.424593, 'b1': 1.51293}	5500	9100
94	Plutonium	Pu	0	7	244	19.8400001526	20.7912998199	175	-1	-1	913.150024414	3501	-1	1.27999997139	6.02619981766	2	0	0	6	0.0010000000475	0	{'a1': 36.525398, 'c': 13.3812, 'b4': 105.980003, 'a3': 16.7707, 'a2': 23.8083, 'a4': 3.47947, 'b2': 3.26371, 'b3': 14.9455, 'b1': 0.499384}	0	0
88	Radium	Ra	2	7	226	5.5	-1	215	-1	-1	973.150024414	2010	-1	0.899999976158	5.27839994431	2	0	0	0	0.0010000000475	0	{'a1': 35.763, 'c': 13.6211, 'b4': 142.324997, 'a3': 12.4739, 'a2': 22.906401, 'a4': 3.21097, 'b2': 3.87135, 'b3': 19.988701, 'b1': 0.616341}	0	0
37	Rubidium	Rb	1	5	85.4677963257	1.53199994564	89.0999984741	235	-1	211	312.790008545	961	0.363000005484	0.819999992847	4.17713022232	1	0	0	0	90	0	{'a1': 17.1784, 'c': 3.4873, 'b4': 164.934006, 'a3': 5.1399, 'a2': 9.6435, 'a4': 1.5292, 'b2': 17.3151, 'b3': 0.2748, 'b1': 1.7888}	6000	6000
75	Rhenium	Re	7	6	186.207000732	21.0200004578	14.8699998856	135	-1	159	3453.14990234	5869	0.136999994516	1.89999997616	7.83349990845	2	0	5	14	0.0010000000475	0	{'a1': 28.7621, 'c': 10.472, 'b4': 52.086102, 'a3': 14.5564, 'a2': 15.7189, 'a4': 5.44174, 'b2': 9.09227, 'b3': 0.3505, 'b1': 1.67191}	3300	3300
